"year","scenario","esm","mem","biomass"
2038,"ssp1","ipsl-cm6a-lr","apecosm",887092724552566
2039,"ssp1","ipsl-cm6a-lr","apecosm",889815588202696
2040,"ssp1","ipsl-cm6a-lr","apecosm",899524858440281
2041,"ssp1","ipsl-cm6a-lr","apecosm",903326948861512
2042,"ssp1","ipsl-cm6a-lr","apecosm",888531438465854
2043,"ssp1","ipsl-cm6a-lr","apecosm",903669994382035
2044,"ssp1","ipsl-cm6a-lr","apecosm",912460034710943
2045,"ssp1","ipsl-cm6a-lr","apecosm",896603413869631
2046,"ssp1","ipsl-cm6a-lr","apecosm",907007393206855
2047,"ssp1","ipsl-cm6a-lr","apecosm",909830206310570
2048,"ssp1","ipsl-cm6a-lr","apecosm",894947870666891
2049,"ssp1","ipsl-cm6a-lr","apecosm",892228243246062
2050,"ssp1","ipsl-cm6a-lr","apecosm",901721678616665
2051,"ssp1","ipsl-cm6a-lr","apecosm",891062814695796
2052,"ssp1","ipsl-cm6a-lr","apecosm",900848465275926
2053,"ssp1","ipsl-cm6a-lr","apecosm",905149301514941
2054,"ssp1","ipsl-cm6a-lr","apecosm",912373605083719
2055,"ssp1","ipsl-cm6a-lr","apecosm",922239002778039
2056,"ssp1","ipsl-cm6a-lr","apecosm",900120369289410
2057,"ssp1","ipsl-cm6a-lr","apecosm",897183757920146
2058,"ssp1","ipsl-cm6a-lr","apecosm",899042776187546
2059,"ssp1","ipsl-cm6a-lr","apecosm",874528495339042
2060,"ssp1","ipsl-cm6a-lr","apecosm",880069975029670
2061,"ssp1","ipsl-cm6a-lr","apecosm",905200341994836
2062,"ssp1","ipsl-cm6a-lr","apecosm",901025275863629
2063,"ssp1","ipsl-cm6a-lr","apecosm",889731920136865
2064,"ssp1","ipsl-cm6a-lr","apecosm",892583348926735
2065,"ssp1","ipsl-cm6a-lr","apecosm",894167971050471
2066,"ssp1","ipsl-cm6a-lr","apecosm",880903030965073
2067,"ssp1","ipsl-cm6a-lr","apecosm",896800192942835
2068,"ssp1","ipsl-cm6a-lr","apecosm",888719281469851
2069,"ssp1","ipsl-cm6a-lr","apecosm",894697534292531
2070,"ssp1","ipsl-cm6a-lr","apecosm",888547661878155
2071,"ssp1","ipsl-cm6a-lr","apecosm",880634933334844
2072,"ssp1","ipsl-cm6a-lr","apecosm",894363349430657
2073,"ssp1","ipsl-cm6a-lr","apecosm",905083075064696
