"year","scenario","esm","mem","biomass"
2090,"ssp5","gfdl-esm4","boats",5283450168251082
2091,"ssp5","gfdl-esm4","boats",5283420638787326
2092,"ssp5","gfdl-esm4","boats",5284901032486247
2093,"ssp5","gfdl-esm4","boats",5286100503543636
2094,"ssp5","gfdl-esm4","boats",5281951801344023
2095,"ssp5","gfdl-esm4","boats",5240089392548135
2096,"ssp5","gfdl-esm4","boats",5169717566946797
2097,"ssp5","gfdl-esm4","boats",5197016793652610
2098,"ssp5","gfdl-esm4","boats",5177164085365234
2099,"ssp5","gfdl-esm4","boats",5113450300644933
2100,"ssp5","gfdl-esm4","boats",5096611061843761
1950,"historical","ipsl-cm6a-lr","boats",4194395736456020
1951,"historical","ipsl-cm6a-lr","boats",4159246206484012
1952,"historical","ipsl-cm6a-lr","boats",4116074282531698
1953,"historical","ipsl-cm6a-lr","boats",4116282941732435
1954,"historical","ipsl-cm6a-lr","boats",4153197815807368
1955,"historical","ipsl-cm6a-lr","boats",4118911419189837
1956,"historical","ipsl-cm6a-lr","boats",4092506550573427
1957,"historical","ipsl-cm6a-lr","boats",4066919935468486
1958,"historical","ipsl-cm6a-lr","boats",4041979021099593
1959,"historical","ipsl-cm6a-lr","boats",4079113713917224
1960,"historical","ipsl-cm6a-lr","boats",4072029444669674
1961,"historical","ipsl-cm6a-lr","boats",4064688900091664
1962,"historical","ipsl-cm6a-lr","boats",4010234666217889
1963,"historical","ipsl-cm6a-lr","boats",4026119991671462
1964,"historical","ipsl-cm6a-lr","boats",4042660709892020
1965,"historical","ipsl-cm6a-lr","boats",4023981480047308
1966,"historical","ipsl-cm6a-lr","boats",4048934502339380
1967,"historical","ipsl-cm6a-lr","boats",4045665038015272
1968,"historical","ipsl-cm6a-lr","boats",4058251692133842
1969,"historical","ipsl-cm6a-lr","boats",4046206313999288
1970,"historical","ipsl-cm6a-lr","boats",4089243945867153
1971,"historical","ipsl-cm6a-lr","boats",4092512333895068
1972,"historical","ipsl-cm6a-lr","boats",4064792872012534
1973,"historical","ipsl-cm6a-lr","boats",4037340467539838
1974,"historical","ipsl-cm6a-lr","boats",4082369707575538
1975,"historical","ipsl-cm6a-lr","boats",4079804063867278
1976,"historical","ipsl-cm6a-lr","boats",4046469079220348
1977,"historical","ipsl-cm6a-lr","boats",4060803082660552
1978,"historical","ipsl-cm6a-lr","boats",4081677337346946
1979,"historical","ipsl-cm6a-lr","boats",4086816974206426
1980,"historical","ipsl-cm6a-lr","boats",4050964367094520
1981,"historical","ipsl-cm6a-lr","boats",4011967570118130
1982,"historical","ipsl-cm6a-lr","boats",4061443109811125
1983,"historical","ipsl-cm6a-lr","boats",4092754387212918
1984,"historical","ipsl-cm6a-lr","boats",4115032329813378
1985,"historical","ipsl-cm6a-lr","boats",4197571349301151
1986,"historical","ipsl-cm6a-lr","boats",4196368246752334
1987,"historical","ipsl-cm6a-lr","boats",4141053923744732
1988,"historical","ipsl-cm6a-lr","boats",4114883184980258
1989,"historical","ipsl-cm6a-lr","boats",4032365393981180
1990,"historical","ipsl-cm6a-lr","boats",4074782222524165
1991,"historical","ipsl-cm6a-lr","boats",4091241740604028
1992,"historical","ipsl-cm6a-lr","boats",4079889780785211
1993,"historical","ipsl-cm6a-lr","boats",4080069310654871
1994,"historical","ipsl-cm6a-lr","boats",4078391147306866
1995,"historical","ipsl-cm6a-lr","boats",4077989911635798
1996,"historical","ipsl-cm6a-lr","boats",4051160267486646
1997,"historical","ipsl-cm6a-lr","boats",4040897397708332
1998,"historical","ipsl-cm6a-lr","boats",4072619409824809
1999,"historical","ipsl-cm6a-lr","boats",4054741939740078
2000,"historical","ipsl-cm6a-lr","boats",4011536222804713
2001,"historical","ipsl-cm6a-lr","boats",4024081703456860
2002,"historical","ipsl-cm6a-lr","boats",4038830299518323
2003,"historical","ipsl-cm6a-lr","boats",4053839168833832
2004,"historical","ipsl-cm6a-lr","boats",4073199441038112
2005,"historical","ipsl-cm6a-lr","boats",4003850818037373
2006,"historical","ipsl-cm6a-lr","boats",3956371920368040
2007,"historical","ipsl-cm6a-lr","boats",4005178385388072
2008,"historical","ipsl-cm6a-lr","boats",4029181476399445
2009,"historical","ipsl-cm6a-lr","boats",3970381076061791
2010,"historical","ipsl-cm6a-lr","boats",3922920936738800
2011,"historical","ipsl-cm6a-lr","boats",3972670448126264
2012,"historical","ipsl-cm6a-lr","boats",3952413831410824
2013,"historical","ipsl-cm6a-lr","boats",3940720188533465
2014,"historical","ipsl-cm6a-lr","boats",3989541380995966
2015,"ssp1","ipsl-cm6a-lr","boats",4028389796664480
2016,"ssp1","ipsl-cm6a-lr","boats",3999569739117276
2017,"ssp1","ipsl-cm6a-lr","boats",3954980186963524
2018,"ssp1","ipsl-cm6a-lr","boats",3936572538650962
2019,"ssp1","ipsl-cm6a-lr","boats",3954811108110922
2020,"ssp1","ipsl-cm6a-lr","boats",3954097931224766
2021,"ssp1","ipsl-cm6a-lr","boats",3929653459711780
2022,"ssp1","ipsl-cm6a-lr","boats",3931593532429834
2023,"ssp1","ipsl-cm6a-lr","boats",3919377252599698
2024,"ssp1","ipsl-cm6a-lr","boats",3876664376321292
2025,"ssp1","ipsl-cm6a-lr","boats",3866913672703676
2026,"ssp1","ipsl-cm6a-lr","boats",3884883504988206
2027,"ssp1","ipsl-cm6a-lr","boats",3910450227509626
2028,"ssp1","ipsl-cm6a-lr","boats",3884906956299854
2029,"ssp1","ipsl-cm6a-lr","boats",3877093409083370
2030,"ssp1","ipsl-cm6a-lr","boats",3872272187830118
2031,"ssp1","ipsl-cm6a-lr","boats",3848841079695560
2032,"ssp1","ipsl-cm6a-lr","boats",3844433977339876
2033,"ssp1","ipsl-cm6a-lr","boats",3809668481047670
2034,"ssp1","ipsl-cm6a-lr","boats",3816267129553750
2035,"ssp1","ipsl-cm6a-lr","boats",3838644850731016
2036,"ssp1","ipsl-cm6a-lr","boats",3846844436060232
2037,"ssp1","ipsl-cm6a-lr","boats",3807979585896307
2038,"ssp1","ipsl-cm6a-lr","boats",3775892027160202
2039,"ssp1","ipsl-cm6a-lr","boats",3785018449611752
2040,"ssp1","ipsl-cm6a-lr","boats",3811399021379996
2041,"ssp1","ipsl-cm6a-lr","boats",3790690650722958
2042,"ssp1","ipsl-cm6a-lr","boats",3766962027309530
2043,"ssp1","ipsl-cm6a-lr","boats",3806736658656751
2044,"ssp1","ipsl-cm6a-lr","boats",3784217379486006
2045,"ssp1","ipsl-cm6a-lr","boats",3784148021437451
2046,"ssp1","ipsl-cm6a-lr","boats",3815612112485057
2047,"ssp1","ipsl-cm6a-lr","boats",3804998374679656
2048,"ssp1","ipsl-cm6a-lr","boats",3770176095051127
2049,"ssp1","ipsl-cm6a-lr","boats",3775915925205852
2050,"ssp1","ipsl-cm6a-lr","boats",3762609330779848
2051,"ssp1","ipsl-cm6a-lr","boats",3720053106516184
2052,"ssp1","ipsl-cm6a-lr","boats",3759583539059449
2053,"ssp1","ipsl-cm6a-lr","boats",3756360552989102
2054,"ssp1","ipsl-cm6a-lr","boats",3781970428397070
2055,"ssp1","ipsl-cm6a-lr","boats",3773657069407811
2056,"ssp1","ipsl-cm6a-lr","boats",3731421458128121
2057,"ssp1","ipsl-cm6a-lr","boats",3744021555496136
2058,"ssp1","ipsl-cm6a-lr","boats",3725356974514955
2059,"ssp1","ipsl-cm6a-lr","boats",3701934907482249
2060,"ssp1","ipsl-cm6a-lr","boats",3737651024858245
2061,"ssp1","ipsl-cm6a-lr","boats",3756815809295691
2062,"ssp1","ipsl-cm6a-lr","boats",3727977152565492
2063,"ssp1","ipsl-cm6a-lr","boats",3722395084019796
2064,"ssp1","ipsl-cm6a-lr","boats",3725482014182622
2065,"ssp1","ipsl-cm6a-lr","boats",3722212657802553
2066,"ssp1","ipsl-cm6a-lr","boats",3717553085569060
2067,"ssp1","ipsl-cm6a-lr","boats",3739411406967866
2068,"ssp1","ipsl-cm6a-lr","boats",3722373481495848
2069,"ssp1","ipsl-cm6a-lr","boats",3728259653676426
2070,"ssp1","ipsl-cm6a-lr","boats",3688846972056752
2071,"ssp1","ipsl-cm6a-lr","boats",3685947461092917
2072,"ssp1","ipsl-cm6a-lr","boats",3727669386943470
2073,"ssp1","ipsl-cm6a-lr","boats",3725997471858032
2074,"ssp1","ipsl-cm6a-lr","boats",3726228113313630
2075,"ssp1","ipsl-cm6a-lr","boats",3730449199085020
2076,"ssp1","ipsl-cm6a-lr","boats",3689694634020577
2077,"ssp1","ipsl-cm6a-lr","boats",3670108669649621
2078,"ssp1","ipsl-cm6a-lr","boats",3707682613554798
2079,"ssp1","ipsl-cm6a-lr","boats",3715925718300796
2080,"ssp1","ipsl-cm6a-lr","boats",3670102481720483
2081,"ssp1","ipsl-cm6a-lr","boats",3674863581082466
2082,"ssp1","ipsl-cm6a-lr","boats",3672787773739424
2083,"ssp1","ipsl-cm6a-lr","boats",3647995871298456
2084,"ssp1","ipsl-cm6a-lr","boats",3653697843676070
2085,"ssp1","ipsl-cm6a-lr","boats",3671124683151714
2086,"ssp1","ipsl-cm6a-lr","boats",3710364797832560
2087,"ssp1","ipsl-cm6a-lr","boats",3694830304908505
2088,"ssp1","ipsl-cm6a-lr","boats",3653971200250570
2089,"ssp1","ipsl-cm6a-lr","boats",3697984730248041
2090,"ssp1","ipsl-cm6a-lr","boats",3729194090701836
2091,"ssp1","ipsl-cm6a-lr","boats",3741321374535196
2092,"ssp1","ipsl-cm6a-lr","boats",3751528041082221
2093,"ssp1","ipsl-cm6a-lr","boats",3725151271557468
2094,"ssp1","ipsl-cm6a-lr","boats",3711635308251400
2095,"ssp1","ipsl-cm6a-lr","boats",3747098086626460
2096,"ssp1","ipsl-cm6a-lr","boats",3778161714326810
2097,"ssp1","ipsl-cm6a-lr","boats",3792008222533602
2098,"ssp1","ipsl-cm6a-lr","boats",3733370600509439
2099,"ssp1","ipsl-cm6a-lr","boats",3694542818661782
2100,"ssp1","ipsl-cm6a-lr","boats",3710351506367413
2015,"ssp5","ipsl-cm6a-lr","boats",4013179341281560
2016,"ssp5","ipsl-cm6a-lr","boats",3951906459758986
2017,"ssp5","ipsl-cm6a-lr","boats",3896101085045108
2018,"ssp5","ipsl-cm6a-lr","boats",3900881533134490
2019,"ssp5","ipsl-cm6a-lr","boats",3909843206530707
2020,"ssp5","ipsl-cm6a-lr","boats",3926893966776969
2021,"ssp5","ipsl-cm6a-lr","boats",3892043527479471
2022,"ssp5","ipsl-cm6a-lr","boats",3911961155191328
2023,"ssp5","ipsl-cm6a-lr","boats",3946925688154037
2024,"ssp5","ipsl-cm6a-lr","boats",3949449706024936
2025,"ssp5","ipsl-cm6a-lr","boats",3920927089004558
2026,"ssp5","ipsl-cm6a-lr","boats",3926242030190111
2027,"ssp5","ipsl-cm6a-lr","boats",3923308849651356
2028,"ssp5","ipsl-cm6a-lr","boats",3893884690120654
2029,"ssp5","ipsl-cm6a-lr","boats",3837301110554083
2030,"ssp5","ipsl-cm6a-lr","boats",3801408201642010
2031,"ssp5","ipsl-cm6a-lr","boats",3820535331431689
2032,"ssp5","ipsl-cm6a-lr","boats",3836090910365958
2033,"ssp5","ipsl-cm6a-lr","boats",3854839024694078
2034,"ssp5","ipsl-cm6a-lr","boats",3857088255421552
2035,"ssp5","ipsl-cm6a-lr","boats",3868737661651208
2036,"ssp5","ipsl-cm6a-lr","boats",3849085989444390
2037,"ssp5","ipsl-cm6a-lr","boats",3856582613707900
2038,"ssp5","ipsl-cm6a-lr","boats",3814476892223233
2039,"ssp5","ipsl-cm6a-lr","boats",3794014478693084
2040,"ssp5","ipsl-cm6a-lr","boats",3806431001338968
2041,"ssp5","ipsl-cm6a-lr","boats",3788770701900122
2042,"ssp5","ipsl-cm6a-lr","boats",3787942122302018
2043,"ssp5","ipsl-cm6a-lr","boats",3743501063211232
2044,"ssp5","ipsl-cm6a-lr","boats",3697945233679985
2045,"ssp5","ipsl-cm6a-lr","boats",3697053476072000
2046,"ssp5","ipsl-cm6a-lr","boats",3716434955825048
2047,"ssp5","ipsl-cm6a-lr","boats",3678149961444794
2048,"ssp5","ipsl-cm6a-lr","boats",3637181020144780
2049,"ssp5","ipsl-cm6a-lr","boats",3668147275122362
2050,"ssp5","ipsl-cm6a-lr","boats",3678344203461890
2051,"ssp5","ipsl-cm6a-lr","boats",3652389212387611
2052,"ssp5","ipsl-cm6a-lr","boats",3612282479201232
2053,"ssp5","ipsl-cm6a-lr","boats",3594192805239119
2054,"ssp5","ipsl-cm6a-lr","boats",3611564665665859
2055,"ssp5","ipsl-cm6a-lr","boats",3615337488095100
2056,"ssp5","ipsl-cm6a-lr","boats",3572814211647753
2057,"ssp5","ipsl-cm6a-lr","boats",3570994647209514
2058,"ssp5","ipsl-cm6a-lr","boats",3575064275987866
2059,"ssp5","ipsl-cm6a-lr","boats",3591076631425990
2060,"ssp5","ipsl-cm6a-lr","boats",3560095627163340
2061,"ssp5","ipsl-cm6a-lr","boats",3574643277063916
2062,"ssp5","ipsl-cm6a-lr","boats",3583170229496957
2063,"ssp5","ipsl-cm6a-lr","boats",3549573025481744
2064,"ssp5","ipsl-cm6a-lr","boats",3518638684450045
2065,"ssp5","ipsl-cm6a-lr","boats",3517356727102460
2066,"ssp5","ipsl-cm6a-lr","boats",3465017959485679
2067,"ssp5","ipsl-cm6a-lr","boats",3445807213864278
2068,"ssp5","ipsl-cm6a-lr","boats",3453301726050780
2069,"ssp5","ipsl-cm6a-lr","boats",3436419493337191
2070,"ssp5","ipsl-cm6a-lr","boats",3433961757561003
2071,"ssp5","ipsl-cm6a-lr","boats",3387745539681200
2072,"ssp5","ipsl-cm6a-lr","boats",3395045530097064
2073,"ssp5","ipsl-cm6a-lr","boats",3391752642095911
2074,"ssp5","ipsl-cm6a-lr","boats",3391950631893138
2075,"ssp5","ipsl-cm6a-lr","boats",3409148620300226
2076,"ssp5","ipsl-cm6a-lr","boats",3376637301303108
2077,"ssp5","ipsl-cm6a-lr","boats",3371977492518394
2078,"ssp5","ipsl-cm6a-lr","boats",3356125939677149
2079,"ssp5","ipsl-cm6a-lr","boats",3336138156114770
2080,"ssp5","ipsl-cm6a-lr","boats",3286945282430528
2081,"ssp5","ipsl-cm6a-lr","boats",3242371029427914
2082,"ssp5","ipsl-cm6a-lr","boats",3253061520229947
2083,"ssp5","ipsl-cm6a-lr","boats",3250120319747409
2084,"ssp5","ipsl-cm6a-lr","boats",3192740585843862
2085,"ssp5","ipsl-cm6a-lr","boats",3199582274454311
2086,"ssp5","ipsl-cm6a-lr","boats",3191691106995580
2087,"ssp5","ipsl-cm6a-lr","boats",3149120198058484
2088,"ssp5","ipsl-cm6a-lr","boats",3147349173317736
2089,"ssp5","ipsl-cm6a-lr","boats",3128081621661894
2090,"ssp5","ipsl-cm6a-lr","boats",3093933028571806
2091,"ssp5","ipsl-cm6a-lr","boats",3090362942220168
2092,"ssp5","ipsl-cm6a-lr","boats",3083229805187102
2093,"ssp5","ipsl-cm6a-lr","boats",3106107988403119
2094,"ssp5","ipsl-cm6a-lr","boats",3113475923272612
2095,"ssp5","ipsl-cm6a-lr","boats",3094309393500287
2096,"ssp5","ipsl-cm6a-lr","boats",3069018709527936
2097,"ssp5","ipsl-cm6a-lr","boats",3089549164414124
2098,"ssp5","ipsl-cm6a-lr","boats",3064570605865504
2099,"ssp5","ipsl-cm6a-lr","boats",3011240418761892
2100,"ssp5","ipsl-cm6a-lr","boats",3019021233379114
1950,"historical","ipsl-cm6a-lr","dbpm",1594626093717899
1951,"historical","ipsl-cm6a-lr","dbpm",1586516250019778
1952,"historical","ipsl-cm6a-lr","dbpm",1586706392205390
1953,"historical","ipsl-cm6a-lr","dbpm",1587170892562971
1954,"historical","ipsl-cm6a-lr","dbpm",1589731945396121
1955,"historical","ipsl-cm6a-lr","dbpm",1587982562873993
1956,"historical","ipsl-cm6a-lr","dbpm",1586072021181834
1957,"historical","ipsl-cm6a-lr","dbpm",1580085277481925
1958,"historical","ipsl-cm6a-lr","dbpm",1577422863979326
1959,"historical","ipsl-cm6a-lr","dbpm",1567974133449206
1960,"historical","ipsl-cm6a-lr","dbpm",1555257643439039
1961,"historical","ipsl-cm6a-lr","dbpm",1540391607583402
1962,"historical","ipsl-cm6a-lr","dbpm",1531726536924978
1963,"historical","ipsl-cm6a-lr","dbpm",1535423594498022
1964,"historical","ipsl-cm6a-lr","dbpm",1540240952168372
1965,"historical","ipsl-cm6a-lr","dbpm",1546207896644237
1966,"historical","ipsl-cm6a-lr","dbpm",1545528351649975
1967,"historical","ipsl-cm6a-lr","dbpm",1547848723286202
1968,"historical","ipsl-cm6a-lr","dbpm",1542037208901652
1969,"historical","ipsl-cm6a-lr","dbpm",1537244115437134
1970,"historical","ipsl-cm6a-lr","dbpm",1538586591876016
1971,"historical","ipsl-cm6a-lr","dbpm",1537730745947344
1972,"historical","ipsl-cm6a-lr","dbpm",1539874720243807
1973,"historical","ipsl-cm6a-lr","dbpm",1544801667337386
1974,"historical","ipsl-cm6a-lr","dbpm",1552878545052932
1975,"historical","ipsl-cm6a-lr","dbpm",1545875255321340
1976,"historical","ipsl-cm6a-lr","dbpm",1540864540808172
1977,"historical","ipsl-cm6a-lr","dbpm",1545257023208422
1978,"historical","ipsl-cm6a-lr","dbpm",1555140046914294
1979,"historical","ipsl-cm6a-lr","dbpm",1564262664256241
1980,"historical","ipsl-cm6a-lr","dbpm",1560414137472957
1981,"historical","ipsl-cm6a-lr","dbpm",1562059425537625
1982,"historical","ipsl-cm6a-lr","dbpm",1573622777579299
1983,"historical","ipsl-cm6a-lr","dbpm",1567745715010186
1984,"historical","ipsl-cm6a-lr","dbpm",1576824001346268
1985,"historical","ipsl-cm6a-lr","dbpm",1593606598514484
1986,"historical","ipsl-cm6a-lr","dbpm",1584739054537703
1987,"historical","ipsl-cm6a-lr","dbpm",1574202393085558
1988,"historical","ipsl-cm6a-lr","dbpm",1564773173583738
1989,"historical","ipsl-cm6a-lr","dbpm",1559602193598146
1990,"historical","ipsl-cm6a-lr","dbpm",1567939467682876
1991,"historical","ipsl-cm6a-lr","dbpm",1567878062270735
1992,"historical","ipsl-cm6a-lr","dbpm",1562429953015628
1993,"historical","ipsl-cm6a-lr","dbpm",1560381957708116
1994,"historical","ipsl-cm6a-lr","dbpm",1559685577980094
1995,"historical","ipsl-cm6a-lr","dbpm",1560967827988775
1996,"historical","ipsl-cm6a-lr","dbpm",1556230876888536
1997,"historical","ipsl-cm6a-lr","dbpm",1553291560375521
1998,"historical","ipsl-cm6a-lr","dbpm",1549226422081550
1999,"historical","ipsl-cm6a-lr","dbpm",1542198561177360
2000,"historical","ipsl-cm6a-lr","dbpm",1539660246774966
2001,"historical","ipsl-cm6a-lr","dbpm",1539719880485422
2002,"historical","ipsl-cm6a-lr","dbpm",1538640261757233
2003,"historical","ipsl-cm6a-lr","dbpm",1547081092322736
2004,"historical","ipsl-cm6a-lr","dbpm",1549724227368970
2005,"historical","ipsl-cm6a-lr","dbpm",1532680704695536
2006,"historical","ipsl-cm6a-lr","dbpm",1524715721967489
2007,"historical","ipsl-cm6a-lr","dbpm",1533824819471400
2008,"historical","ipsl-cm6a-lr","dbpm",1539108641002348
2009,"historical","ipsl-cm6a-lr","dbpm",1540925531295138
2010,"historical","ipsl-cm6a-lr","dbpm",1540684075809981
2011,"historical","ipsl-cm6a-lr","dbpm",1538223276071074
2012,"historical","ipsl-cm6a-lr","dbpm",1530411056473748
2013,"historical","ipsl-cm6a-lr","dbpm",1532405380334072
2014,"historical","ipsl-cm6a-lr","dbpm",1545720646183982
2015,"ssp1","ipsl-cm6a-lr","dbpm",1551541882939493
2016,"ssp1","ipsl-cm6a-lr","dbpm",1543789363837997
2017,"ssp1","ipsl-cm6a-lr","dbpm",1532563162070992
2018,"ssp1","ipsl-cm6a-lr","dbpm",1522750775742678
2019,"ssp1","ipsl-cm6a-lr","dbpm",1513559858580926
2020,"ssp1","ipsl-cm6a-lr","dbpm",1504533381768180
2021,"ssp1","ipsl-cm6a-lr","dbpm",1501845269000194
2022,"ssp1","ipsl-cm6a-lr","dbpm",1503606942422824
2023,"ssp1","ipsl-cm6a-lr","dbpm",1493530720887412
2024,"ssp1","ipsl-cm6a-lr","dbpm",1480665785248201
2025,"ssp1","ipsl-cm6a-lr","dbpm",1466484008067363
2026,"ssp1","ipsl-cm6a-lr","dbpm",1459786340490355
2027,"ssp1","ipsl-cm6a-lr","dbpm",1458175055671202
2028,"ssp1","ipsl-cm6a-lr","dbpm",1459387735951925
2029,"ssp1","ipsl-cm6a-lr","dbpm",1465356119138389
2030,"ssp1","ipsl-cm6a-lr","dbpm",1466376178511230
2031,"ssp1","ipsl-cm6a-lr","dbpm",1468980185298480
2032,"ssp1","ipsl-cm6a-lr","dbpm",1468339351387698
2033,"ssp1","ipsl-cm6a-lr","dbpm",1466822682116325
2034,"ssp1","ipsl-cm6a-lr","dbpm",1471636109566908
2035,"ssp1","ipsl-cm6a-lr","dbpm",1478331036636109
2036,"ssp1","ipsl-cm6a-lr","dbpm",1470442106631994
2037,"ssp1","ipsl-cm6a-lr","dbpm",1456022657155144
2038,"ssp1","ipsl-cm6a-lr","dbpm",1447599489149035
2039,"ssp1","ipsl-cm6a-lr","dbpm",1447469578604206
2040,"ssp1","ipsl-cm6a-lr","dbpm",1442301580134854
2041,"ssp1","ipsl-cm6a-lr","dbpm",1428749653444100
2042,"ssp1","ipsl-cm6a-lr","dbpm",1426616899783016
2043,"ssp1","ipsl-cm6a-lr","dbpm",1424907548932347
2044,"ssp1","ipsl-cm6a-lr","dbpm",1412102594706714
2045,"ssp1","ipsl-cm6a-lr","dbpm",1410010295391036
2046,"ssp1","ipsl-cm6a-lr","dbpm",1407563850875853
2047,"ssp1","ipsl-cm6a-lr","dbpm",1400493931773312
2048,"ssp1","ipsl-cm6a-lr","dbpm",1393618972746333
2049,"ssp1","ipsl-cm6a-lr","dbpm",1392185246894349
2050,"ssp1","ipsl-cm6a-lr","dbpm",1384659298622936
2051,"ssp1","ipsl-cm6a-lr","dbpm",1379482543069753
2052,"ssp1","ipsl-cm6a-lr","dbpm",1378611460169096
2053,"ssp1","ipsl-cm6a-lr","dbpm",1380338084312856
2054,"ssp1","ipsl-cm6a-lr","dbpm",1391591226249990
2055,"ssp1","ipsl-cm6a-lr","dbpm",1391498188783531
2056,"ssp1","ipsl-cm6a-lr","dbpm",1390314606010582
2057,"ssp1","ipsl-cm6a-lr","dbpm",1390451920320163
2058,"ssp1","ipsl-cm6a-lr","dbpm",1381617039882630
2059,"ssp1","ipsl-cm6a-lr","dbpm",1376741821095740
2060,"ssp1","ipsl-cm6a-lr","dbpm",1377000108240879
2061,"ssp1","ipsl-cm6a-lr","dbpm",1367294632825672
2062,"ssp1","ipsl-cm6a-lr","dbpm",1361282477237580
2063,"ssp1","ipsl-cm6a-lr","dbpm",1360788434464418
2064,"ssp1","ipsl-cm6a-lr","dbpm",1359861916443507
2065,"ssp1","ipsl-cm6a-lr","dbpm",1352012751804254
2066,"ssp1","ipsl-cm6a-lr","dbpm",1351906281571722
2067,"ssp1","ipsl-cm6a-lr","dbpm",1347695596288626
2068,"ssp1","ipsl-cm6a-lr","dbpm",1343395121638561
2069,"ssp1","ipsl-cm6a-lr","dbpm",1346224825942751
2070,"ssp1","ipsl-cm6a-lr","dbpm",1353650059494730
2071,"ssp1","ipsl-cm6a-lr","dbpm",1366416661354920
2072,"ssp1","ipsl-cm6a-lr","dbpm",1374050712257032
2073,"ssp1","ipsl-cm6a-lr","dbpm",1373676736889327
2074,"ssp1","ipsl-cm6a-lr","dbpm",1376604367994942
2075,"ssp1","ipsl-cm6a-lr","dbpm",1378496000728787
2076,"ssp1","ipsl-cm6a-lr","dbpm",1377697311572188
2077,"ssp1","ipsl-cm6a-lr","dbpm",1379185416966081
2078,"ssp1","ipsl-cm6a-lr","dbpm",1386798938113713
2079,"ssp1","ipsl-cm6a-lr","dbpm",1382213161352566
2080,"ssp1","ipsl-cm6a-lr","dbpm",1375705217528024
2081,"ssp1","ipsl-cm6a-lr","dbpm",1374706539341002
2082,"ssp1","ipsl-cm6a-lr","dbpm",1363690153488460
2083,"ssp1","ipsl-cm6a-lr","dbpm",1345502167553941
2084,"ssp1","ipsl-cm6a-lr","dbpm",1330217512523841
2085,"ssp1","ipsl-cm6a-lr","dbpm",1321397016386710
2086,"ssp1","ipsl-cm6a-lr","dbpm",1319570229649913
2087,"ssp1","ipsl-cm6a-lr","dbpm",1314504338009040
2088,"ssp1","ipsl-cm6a-lr","dbpm",1313723807752551
2089,"ssp1","ipsl-cm6a-lr","dbpm",1318742377281732
2090,"ssp1","ipsl-cm6a-lr","dbpm",1318970336468413
2091,"ssp1","ipsl-cm6a-lr","dbpm",1320767253009936
2092,"ssp1","ipsl-cm6a-lr","dbpm",1322353849069961
2093,"ssp1","ipsl-cm6a-lr","dbpm",1322488218503252
2094,"ssp1","ipsl-cm6a-lr","dbpm",1327225544771950
2095,"ssp1","ipsl-cm6a-lr","dbpm",1335017159404280
2096,"ssp1","ipsl-cm6a-lr","dbpm",1343442729087828
2097,"ssp1","ipsl-cm6a-lr","dbpm",1335776794313312
2098,"ssp1","ipsl-cm6a-lr","dbpm",1319529061719952
2099,"ssp1","ipsl-cm6a-lr","dbpm",1313985005122090
2100,"ssp1","ipsl-cm6a-lr","dbpm",1318925465931222
2015,"ssp5","ipsl-cm6a-lr","dbpm",1549233638014748
2016,"ssp5","ipsl-cm6a-lr","dbpm",1535740470595310
2017,"ssp5","ipsl-cm6a-lr","dbpm",1524788486551224
2018,"ssp5","ipsl-cm6a-lr","dbpm",1516711664569389
2019,"ssp5","ipsl-cm6a-lr","dbpm",1514423590920191
2020,"ssp5","ipsl-cm6a-lr","dbpm",1510999791495262
2021,"ssp5","ipsl-cm6a-lr","dbpm",1505477186359542
2022,"ssp5","ipsl-cm6a-lr","dbpm",1501483270213524
2023,"ssp5","ipsl-cm6a-lr","dbpm",1502382360792706
2024,"ssp5","ipsl-cm6a-lr","dbpm",1496174982727733
2025,"ssp5","ipsl-cm6a-lr","dbpm",1495522268627228
2026,"ssp5","ipsl-cm6a-lr","dbpm",1499460873853085
2027,"ssp5","ipsl-cm6a-lr","dbpm",1502450851708553
2028,"ssp5","ipsl-cm6a-lr","dbpm",1499317218711395
2029,"ssp5","ipsl-cm6a-lr","dbpm",1487847583163942
2030,"ssp5","ipsl-cm6a-lr","dbpm",1477092950538241
2031,"ssp5","ipsl-cm6a-lr","dbpm",1471469343523747
2032,"ssp5","ipsl-cm6a-lr","dbpm",1463047970033319
2033,"ssp5","ipsl-cm6a-lr","dbpm",1457438318611419
2034,"ssp5","ipsl-cm6a-lr","dbpm",1459148601347216
2035,"ssp5","ipsl-cm6a-lr","dbpm",1461349364532400
2036,"ssp5","ipsl-cm6a-lr","dbpm",1462231222046923
2037,"ssp5","ipsl-cm6a-lr","dbpm",1460214683834199
2038,"ssp5","ipsl-cm6a-lr","dbpm",1455073193157668
2039,"ssp5","ipsl-cm6a-lr","dbpm",1444795258938174
2040,"ssp5","ipsl-cm6a-lr","dbpm",1433438142823147
2041,"ssp5","ipsl-cm6a-lr","dbpm",1423662514360098
2042,"ssp5","ipsl-cm6a-lr","dbpm",1418290999683699
2043,"ssp5","ipsl-cm6a-lr","dbpm",1407336427615412
2044,"ssp5","ipsl-cm6a-lr","dbpm",1396509254887842
2045,"ssp5","ipsl-cm6a-lr","dbpm",1392763611237949
2046,"ssp5","ipsl-cm6a-lr","dbpm",1389330153604941
2047,"ssp5","ipsl-cm6a-lr","dbpm",1381647192981572
2048,"ssp5","ipsl-cm6a-lr","dbpm",1372786314242771
2049,"ssp5","ipsl-cm6a-lr","dbpm",1369219087262674
