"climate_model","impact_model","forcing","time","damage"
"gfdl-esm4","boats","ssp1",2055,-511855444759108
"gfdl-esm4","boats","ssp1",2056,-518895638709312
"gfdl-esm4","boats","ssp1",2057,-525378564575530
"gfdl-esm4","boats","ssp1",2058,-491359863252492
"gfdl-esm4","boats","ssp1",2059,-495405823006737
"gfdl-esm4","boats","ssp1",2060,-535057545429943
"gfdl-esm4","boats","ssp1",2061,-550016774772036
"gfdl-esm4","boats","ssp1",2062,-530538502055688
"gfdl-esm4","boats","ssp1",2063,-512801298213632
"gfdl-esm4","boats","ssp1",2064,-514252787937510
"gfdl-esm4","boats","ssp1",2065,-525152594770804
"gfdl-esm4","boats","ssp1",2066,-533620889264986
"gfdl-esm4","boats","ssp1",2067,-538171189820870
"gfdl-esm4","boats","ssp1",2068,-551719216702274
"gfdl-esm4","boats","ssp1",2069,-571707423139506
"gfdl-esm4","boats","ssp1",2070,-575785022226337
"gfdl-esm4","boats","ssp1",2071,-572093571113814
"gfdl-esm4","boats","ssp1",2072,-579976129086985
"gfdl-esm4","boats","ssp1",2073,-570396823486320
"gfdl-esm4","boats","ssp1",2074,-562643387939551
"gfdl-esm4","boats","ssp1",2075,-535207867217354
"gfdl-esm4","boats","ssp1",2076,-530530371641126
"gfdl-esm4","boats","ssp1",2077,-580526849723996
"gfdl-esm4","boats","ssp1",2078,-672519716219586
"gfdl-esm4","boats","ssp1",2079,-656397278392244
"gfdl-esm4","boats","ssp1",2080,-651296789424319
"gfdl-esm4","boats","ssp1",2081,-641931782638428
"gfdl-esm4","boats","ssp1",2082,-692805213129224
"gfdl-esm4","boats","ssp1",2083,-710342075493604
"gfdl-esm4","boats","ssp1",2084,-660875596351088
"gfdl-esm4","boats","ssp1",2085,-667091371261146
"gfdl-esm4","boats","ssp1",2086,-682936632270348
"gfdl-esm4","boats","ssp1",2087,-675302658234126
"gfdl-esm4","boats","ssp1",2088,-683797844350889
"gfdl-esm4","boats","ssp1",2089,-687307298264040
"gfdl-esm4","boats","ssp1",2090,-688196534307906
"gfdl-esm4","boats","ssp1",2091,-662886476943821
"gfdl-esm4","boats","ssp1",2092,-660945782189711
"gfdl-esm4","boats","ssp1",2093,-667918496495000
"gfdl-esm4","boats","ssp1",2094,-637030046787821
"gfdl-esm4","boats","ssp1",2095,-637160917785768
"gfdl-esm4","boats","ssp1",2096,-611348171161654
"gfdl-esm4","boats","ssp1",2097,-655793654481398
"gfdl-esm4","boats","ssp1",2098,-674181636565199
"gfdl-esm4","boats","ssp1",2099,-676199313129204
"gfdl-esm4","boats","ssp1",2100,-667656318160344
"gfdl-esm4","boats","ssp5",2015,-146026194114546
"gfdl-esm4","boats","ssp5",2016,-185079140005979
"gfdl-esm4","boats","ssp5",2017,-225148986674060
"gfdl-esm4","boats","ssp5",2018,-206676141894770
"gfdl-esm4","boats","ssp5",2019,-211650163339534
"gfdl-esm4","boats","ssp5",2020,-230015119132152
"gfdl-esm4","boats","ssp5",2021,-246196307393460
"gfdl-esm4","boats","ssp5",2022,-254255220810994
"gfdl-esm4","boats","ssp5",2023,-241576518467423
"gfdl-esm4","boats","ssp5",2024,-231230243247680
"gfdl-esm4","boats","ssp5",2025,-248470061498009
"gfdl-esm4","boats","ssp5",2026,-259823872293678
"gfdl-esm4","boats","ssp5",2027,-266312246216970
"gfdl-esm4","boats","ssp5",2028,-277179153649985
"gfdl-esm4","boats","ssp5",2029,-337057291002470
"gfdl-esm4","boats","ssp5",2030,-312633738951941
"gfdl-esm4","boats","ssp5",2031,-342255974550924
"gfdl-esm4","boats","ssp5",2032,-407323611378419
"gfdl-esm4","boats","ssp5",2033,-419128935677083
"gfdl-esm4","boats","ssp5",2034,-383539937222064
"gfdl-esm4","boats","ssp5",2035,-367256306317483
"gfdl-esm4","boats","ssp5",2036,-406226922067215
"gfdl-esm4","boats","ssp5",2037,-414871753587215
"gfdl-esm4","boats","ssp5",2038,-405456657646646
"gfdl-esm4","boats","ssp5",2039,-418450147193111
"gfdl-esm4","boats","ssp5",2040,-434340062607531
"gfdl-esm4","boats","ssp5",2041,-441046375151726
"gfdl-esm4","boats","ssp5",2042,-447345767972144
"gfdl-esm4","boats","ssp5",2043,-486444257050639
"gfdl-esm4","boats","ssp5",2044,-527673515592508
"gfdl-esm4","boats","ssp5",2045,-570673067355534
"gfdl-esm4","boats","ssp5",2046,-559345356473336
"gfdl-esm4","boats","ssp5",2047,-584791646890402
"gfdl-esm4","boats","ssp5",2048,-598089623204070
"gfdl-esm4","boats","ssp5",2049,-670409877625198
"gfdl-esm4","boats","ssp5",2050,-652133188569592
"gfdl-esm4","boats","ssp5",2051,-672603375227378
"gfdl-esm4","boats","ssp5",2052,-718324373195918
"gfdl-esm4","boats","ssp5",2053,-720891227207042
"gfdl-esm4","boats","ssp5",2054,-744638310585482
"gfdl-esm4","boats","ssp5",2055,-805281016292788
"gfdl-esm4","boats","ssp5",2056,-759497853271202
"gfdl-esm4","boats","ssp5",2057,-801784470962287
"gfdl-esm4","boats","ssp5",2058,-815774676035430
"gfdl-esm4","boats","ssp5",2059,-848499801889051
"gfdl-esm4","boats","ssp5",2060,-828230216008476
"gfdl-esm4","boats","ssp5",2061,-878028432775034
"gfdl-esm4","boats","ssp5",2062,-877425137320871
"gfdl-esm4","boats","ssp5",2063,-877620937320726
"gfdl-esm4","boats","ssp5",2064,-970344135600085
"gfdl-esm4","boats","ssp5",2065,-958438812258322
"gfdl-esm4","boats","ssp5",2066,-955126261137599
"gfdl-esm4","boats","ssp5",2067,-992016968373909
"gfdl-esm4","boats","ssp5",2068,-989396274875629
"gfdl-esm4","boats","ssp5",2069,-1052257069796905
"gfdl-esm4","boats","ssp5",2070,-1081108968333636
"gfdl-esm4","boats","ssp5",2071,-1104411453690660
"gfdl-esm4","boats","ssp5",2072,-1094330390539538
"gfdl-esm4","boats","ssp5",2073,-1132313434879940
"gfdl-esm4","boats","ssp5",2074,-1143608246180655
"gfdl-esm4","boats","ssp5",2075,-1177216254758020
"gfdl-esm4","boats","ssp5",2076,-1169836494141607
"gfdl-esm4","boats","ssp5",2077,-1196102192242649
"gfdl-esm4","boats","ssp5",2078,-1245089258373934
"gfdl-esm4","boats","ssp5",2079,-1257625053938256
"gfdl-esm4","boats","ssp5",2080,-1252855438030179
"gfdl-esm4","boats","ssp5",2081,-1298946507403142
"gfdl-esm4","boats","ssp5",2082,-1366850890426556
"gfdl-esm4","boats","ssp5",2083,-1356991133467348
"gfdl-esm4","boats","ssp5",2084,-1380273838238361
"gfdl-esm4","boats","ssp5",2085,-1401523369506647
"gfdl-esm4","boats","ssp5",2086,-1432192934721002
"gfdl-esm4","boats","ssp5",2087,-1447203922210788
"gfdl-esm4","boats","ssp5",2088,-1454708280641340
"gfdl-esm4","boats","ssp5",2089,-1582540302924321
"gfdl-esm4","boats","ssp5",2090,-1567005154733204
"gfdl-esm4","boats","ssp5",2091,-1567034684196960
"gfdl-esm4","boats","ssp5",2092,-1565554290498039
"gfdl-esm4","boats","ssp5",2093,-1564354819440650
"gfdl-esm4","boats","ssp5",2094,-1568503521640263
"gfdl-esm4","boats","ssp5",2095,-1610365930436151
"gfdl-esm4","boats","ssp5",2096,-1680737756037489
"gfdl-esm4","boats","ssp5",2097,-1653438529331676
"gfdl-esm4","boats","ssp5",2098,-1673291237619052
"gfdl-esm4","boats","ssp5",2099,-1737005022339353
"gfdl-esm4","boats","ssp5",2100,-1753844261140525
"gfdl-esm4","ecotroph","historical",1950,123413856155054
"gfdl-esm4","ecotroph","historical",1951,151091351328744
"gfdl-esm4","ecotroph","historical",1952,186625623521078
"gfdl-esm4","ecotroph","historical",1953,233330442528104
"gfdl-esm4","ecotroph","historical",1954,252625752654980
"gfdl-esm4","ecotroph","historical",1955,297853027557504
"gfdl-esm4","ecotroph","historical",1956,301503745998608
"gfdl-esm4","ecotroph","historical",1957,227088413076270
"gfdl-esm4","ecotroph","historical",1958,294475545164938
"gfdl-esm4","ecotroph","historical",1959,252110812832500
"gfdl-esm4","ecotroph","historical",1960,359665291189776
"gfdl-esm4","ecotroph","historical",1961,197090247505563
"gfdl-esm4","ecotroph","historical",1962,203160931014341
"gfdl-esm4","ecotroph","historical",1963,330260098677886
"gfdl-esm4","ecotroph","historical",1964,271804371516590
"gfdl-esm4","ecotroph","historical",1965,409202615774382
"gfdl-esm4","ecotroph","historical",1966,406971230450478
"gfdl-esm4","ecotroph","historical",1967,311761180976146
"gfdl-esm4","ecotroph","historical",1968,201602038140203
"gfdl-esm4","ecotroph","historical",1969,274877567185876
"gfdl-esm4","ecotroph","historical",1970,238771598296768
"gfdl-esm4","ecotroph","historical",1971,261461385854334
"gfdl-esm4","ecotroph","historical",1972,416565849111790
"gfdl-esm4","ecotroph","historical",1973,219863998973698
"gfdl-esm4","ecotroph","historical",1974,203319646852730
"gfdl-esm4","ecotroph","historical",1975,167321721873101
"gfdl-esm4","ecotroph","historical",1976,240894907865586
"gfdl-esm4","ecotroph","historical",1977,175808205621019
"gfdl-esm4","ecotroph","historical",1978,68258581030986
"gfdl-esm4","ecotroph","historical",1979,151525837308840
"gfdl-esm4","ecotroph","historical",1980,158280523202255
"gfdl-esm4","ecotroph","historical",1981,60635806095973
"gfdl-esm4","ecotroph","historical",1982,82751907089538
"gfdl-esm4","ecotroph","historical",1983,202041924020427
"gfdl-esm4","ecotroph","historical",1984,237197751326148
"gfdl-esm4","ecotroph","historical",1985,259827002672438
"gfdl-esm4","ecotroph","historical",1986,302276352632308
"gfdl-esm4","ecotroph","historical",1987,309104960568634
"gfdl-esm4","ecotroph","historical",1988,235074726648240
"gfdl-esm4","ecotroph","historical",1989,101023090153031
"gfdl-esm4","ecotroph","historical",1990,50512334829989
"gfdl-esm4","ecotroph","historical",1991,31483088828277
"gfdl-esm4","ecotroph","historical",1992,187574176672601
"gfdl-esm4","ecotroph","historical",1993,267704301497686
"gfdl-esm4","ecotroph","historical",1994,104761472657604
"gfdl-esm4","ecotroph","historical",1995,212031309556690
"gfdl-esm4","ecotroph","historical",1996,137468821650177
"gfdl-esm4","ecotroph","historical",1997,130231685346754
"gfdl-esm4","ecotroph","historical",1998,135410670355058
"gfdl-esm4","ecotroph","historical",1999,359089036968
"gfdl-esm4","ecotroph","historical",2000,83500094907603
"gfdl-esm4","ecotroph","historical",2001,22375656617151
"gfdl-esm4","ecotroph","historical",2002,2675491143285
"gfdl-esm4","ecotroph","historical",2003,-169027143959816
"gfdl-esm4","ecotroph","historical",2004,-99620113237945
"gfdl-esm4","ecotroph","historical",2005,-64655414219754
"gfdl-esm4","ecotroph","historical",2006,-42847541076706
"gfdl-esm4","ecotroph","historical",2007,22163800666515
"gfdl-esm4","ecotroph","historical",2008,-9991702472761
"gfdl-esm4","ecotroph","historical",2009,64332231593746
"gfdl-esm4","ecotroph","historical",2010,114172241151742
"gfdl-esm4","ecotroph","historical",2011,-9094952930233
"gfdl-esm4","ecotroph","historical",2012,-136983323955766
"gfdl-esm4","ecotroph","historical",2013,-229836157828779
"gfdl-esm4","ecotroph","historical",2014,-162664742343929
"gfdl-esm4","ecotroph","ssp1",2015,-85629561636152
"gfdl-esm4","ecotroph","ssp1",2016,-142786114492499
